m|sigma|e|k_ab|e_ab|mu|na|nb|inchi|smiles
5.355400085449219|4.194900035858154|293.59228515625|0.0501|1861.5668|0.0|3.0|2.0|InChI=1S/C13H30N.C4H9NO3/c1-5-8-11-14(4,12-9-6-2)13-10-7-3;1-2(6)3(5)4(7)8/h5-13H2,1-4H3;2-3,6H,5H2,1H3,(H,7,8)/q+1;/p-1/t;2-,3+/m.1/s1|CCCC[N+](C)(CCCC)CCCC.C[C@@H](O)[C@H](N)C(=O)[O-]
7.385700225830078|3.779900074005127|223.9781951904297|0.0755|1247.204|0.0|1.0|0.0|InChI=1S/C16H36PS.BF4/c1-5-9-12-17(13-10-6-2,14-11-7-3)15-16-18-8-4;2-1(3,4)5/h5-16H2,1-4H3;/q+1;-1|CCCC[P+](CCCC)(CCCC)CCSCC.F[B-](F)(F)F
4.753600120544434|3.5162999629974365|282.668212890625|0.0001|3161.4722|0.0|1.0|0.0|InChI=1S/C10H12O/c1-9(11)7-8-10-5-3-2-4-6-10/h2-6H,7-8H2,1H3|CC(=O)CCc1ccccc1
5.296500205993652|3.412600040435791|268.0401916503906|0.0|0.0|0.0|0.0|0.0|InChI=1S/C5H10Br2/c6-4-2-1-3-5-7/h1-5H2|BrCCCCCBr
5.323500156402588|4.323800086975098|422.87640380859375|0.0011|2417.7235|0.0|4.0|0.0|InChI=1S/C10H22N.C2F6NO4S2/c1-3-4-8-11(2)9-6-5-7-10-11;3-1(4,5)14(10,11)9-15(12,13)2(6,7)8/h3-10H2,1-2H3;/q+1;-1|CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
5.729599952697754|4.0208001136779785|351.00799560546875|0.0041|3337.8153|0.0|6.0|0.0|InChI=1S/C9H22NO2.C2F6NO4S2/c1-5-10(2,3)6-7-12-9-8-11-4;3-1(4,5)14(10,11)9-15(12,13)2(6,7)8/h5-9H2,1-4H3;/q+1;-1|CC[N+](C)(C)CCOCCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
4.085599899291992|3.7100000381469727|288.5791931152344|0.0007|2138.841|0.0|2.0|1.0|InChI=1S/C6H15N.C2H4O2/c1-4-7(5-2)6-3;1-2(3)4/h4-6H2,1-3H3;1H3,(H,3,4)|CC(=O)O.CCN(CC)CC
5.827899932861328|3.8397998809814453|258.75469970703125|0.0011|3370.1199|0.0|2.0|0.0|InChI=1S/C12H20O2/c1-6-12(5,14-11(4)13)9-7-8-10(2)3/h6,8H,1,7,9H2,2-5H3|C=CC(C)(CCC=C(C)C)OC(C)=O
3.900899887084961|3.5594000816345215|280.8116149902344|0.0|0.0|0.0|0.0|0.0|InChI=1S/C5H10Cl2/c6-4-2-1-3-5-7/h1-5H2|ClCCCCCCl
7.487299919128418|4.073500156402588|291.62139892578125|0.0036|2897.5194|0.0|4.0|0.0|InChI=1S/C18H40N.C2F6NO4S2/c1-5-9-10-11-12-13-14-15-16-17-18-19(6-2,7-3)8-4;3-1(4,5)14(10,11)9-15(12,13)2(6,7)8/h5-18H2,1-4H3;/q+1;-1|CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
3.6888999938964844|3.435800075531006|239.21969604492188|0.0017|2639.0334|0.0|2.0|0.0|InChI=1S/C5H10O2/c1-2-3-4-7-5-6/h5H,2-4H2,1H3|CCCCOC=O
5.197299957275391|3.236799955368042|251.23019409179688|0.0034|2671.8242|0.0|1.0|1.0|InChI=1S/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)|CCCCCC(=O)O
